id,customer_id,text,label,service,amount,currency,date,frequency
CHL00001,ICUST0001,Your Dropbox Plus plan renewed for $20.30. Access continues for the next billing period.,1,Dropbox Plus,20.3,USD,2026-09-03,monthly
CHL00002,ICUST0002,We received $11.96 for your Notion Plus membership. Your plan remains active.,1,Notion Plus,11.96,USD,2026-08-31,monthly
CHL00003,ICUST0003,Zoom Pro: recurring charge of $18.05 was processed successfully. Next renewal is scheduled for next month.,1,Zoom Pro,18.05,USD,2026-09-08,monthly
CHL00004,ICUST0004,Your Grammarly Premium plan renewed for $19.59. Access continues for the next billing period.,1,Grammarly Premium,19.59,USD,2026-08-31,monthly
CHL00005,ICUST0005,Your Duolingo Super plan renewed for $8.74. Access continues for the next billing period.,1,Duolingo Super,8.74,USD,2026-09-07,monthly
CHL00006,ICUST0006,Thanks for your iCloud+ payment of $2.78. Premium access continues.,1,iCloud+,2.78,USD,2026-09-02,monthly
CHL00007,ICUST0007,Your GitHub Copilot account will renew automatically; $23.03 was collected for this period.,1,GitHub Copilot,23.03,USD,2026-08-30,monthly
CHL00008,ICUST0008,We received $60.34 for your LinkedIn Premium membership. Your plan remains active.,1,LinkedIn Premium,60.34,USD,2026-09-05,monthly
CHL00009,ICUST0009,We received $10.71 for your Disney+ membership. Your plan remains active.,1,Disney+,10.71,USD,2026-09-02,monthly
CHL00010,ICUST0010,Receipt: Amazon Prime plan payment $16.65. Next billing date is in 30 days.,1,Amazon Prime,16.65,USD,2026-08-31,monthly
CHL00011,ICUST0011,NordVPN: recurring charge of $5.92 was processed successfully. Next renewal is scheduled for next month.,1,NordVPN,5.92,USD,2026-09-04,monthly
CHL00012,ICUST0012,Your Proton Unlimited account will renew automatically; $18.46 was collected for this period.,1,Proton Unlimited,18.46,USD,2026-08-30,monthly
CHL00013,ICUST0013,Evernote Personal: recurring charge of $15.84 was processed successfully. Next renewal is scheduled for next month.,1,Evernote Personal,15.84,USD,2026-09-05,monthly
CHL00014,ICUST0014,Your Headspace account will renew automatically; $10.78 was collected for this period.,1,Headspace,10.78,USD,2026-09-08,monthly
CHL00015,ICUST0015,Receipt: Coursera Plus plan payment $66.71. Next billing date is in 30 days.,1,Coursera Plus,66.71,USD,2026-09-08,monthly
CHL00016,ICUST0016,Dropbox Plus: recurring charge of $14.49 was processed successfully. Next renewal is scheduled for next month.,1,Dropbox Plus,14.49,USD,2026-08-30,monthly
