id,customer_id,text,label,service,amount,currency,date,frequency
EML00001,CUST0053,Payment of $12.85 was processed for your Microsoft 365 plan. Next billing date: 29 Mar 2026.,1,Microsoft 365,12.85,USD,2026-03-29,monthly
EML00002,CUST0176,Payment of $12.30 was processed for your Microsoft 365 plan. Next billing date: 22 Jan 2026.,1,Microsoft 365,12.3,USD,2026-01-22,monthly
EML00003,CUST0248,"Uber receipt: transaction amount LKR 42,307.",0,Uber,42307.0,LKR,2026-06-22,one-time
EML00004,CUST0252,"Your PickMe transaction was completed for LKR 53,964.",0,PickMe,53964.0,LKR,2026-06-20,one-time
EML00005,CUST0241,Your payment of $8.72 for Microsoft 365 was received for the current period.,1,Microsoft 365,8.72,USD,2026-04-22,monthly
EML00006,CUST0114,Billing confirmation for ChatGPT Plus: $20.00.,1,ChatGPT Plus,20.0,USD,2026-01-18,monthly
EML00007,CUST0202,Your payment of $41.87 for Adobe Creative Cloud was received for the current period.,1,Adobe Creative Cloud,41.87,USD,2026-05-12,monthly
EML00008,CUST0279,Your Figma account was charged $30.72. The current plan remains active.,1,Figma,30.72,USD,2026-02-14,monthly
EML00009,CUST0176,Billing confirmation for Spotify Premium: $7.13.,1,Spotify Premium,7.13,USD,2026-04-04,monthly
EML00010,CUST0038,Billing confirmation for Microsoft 365: $11.13.,1,Microsoft 365,11.13,USD,2026-02-23,monthly
EML00011,CUST0261,"NWSDB account statement: LKR 1,645 payable for the current period.",0,NWSDB,1645.0,LKR,2026-05-20,monthly
EML00012,CUST0135,"HNB receipt: transaction amount LKR 30,303.",0,HNB,30303.0,LKR,2026-08-14,one-time
EML00013,CUST0178,"Sampath Bank receipt: transaction amount LKR 91,752.",0,Sampath Bank,91752.0,LKR,2026-08-03,one-time
EML00014,CUST0010,"Payment of LKR 5,848 is due for your NWSDB account for 25 Mar 2026.",0,NWSDB,5848.0,LKR,2026-03-25,monthly
EML00015,CUST0071,"Payment received for Uber Eats order #467819: LKR 41,673.",0,Uber Eats,41673.0,LKR,2026-04-01,one-time
EML00016,CUST0013,"NWSDB account statement: LKR 4,407 payable for the current period.",0,NWSDB,4407.0,LKR,2026-03-21,monthly
EML00017,CUST0033,"Payment received for Daraz order #196232: LKR 89,125.",0,Daraz,89125.0,LKR,2026-02-09,one-time
EML00018,CUST0110,"Payment of LKR 11,226 is due for your CEB account for 06 Jun 2026.",0,CEB,11226.0,LKR,2026-06-06,monthly
EML00019,CUST0164,Your Microsoft 365 account was charged $7.95. The current plan remains active.,1,Microsoft 365,7.95,USD,2026-04-25,monthly
EML00020,CUST0087,"Your SLT account has a balance of LKR 3,685.",0,SLT,3685.0,LKR,2026-05-16,monthly
EML00021,CUST0200,"Your Commercial Bank transaction was completed for LKR 25,000.",0,Commercial Bank,25000.0,LKR,2026-04-01,one-time
EML00022,CUST0073,"Your NWSDB account has a balance of LKR 6,142.",0,NWSDB,6142.0,LKR,2026-04-12,monthly
EML00023,CUST0065,Your Microsoft 365 account was charged $11.02. The current plan remains active.,1,Microsoft 365,11.02,USD,2026-02-13,monthly
EML00024,CUST0212,Your Google One account was charged $9.69. The current plan remains active.,1,Google One,9.69,USD,2026-01-08,monthly
EML00025,CUST0176,Your payment of $8.93 for Microsoft 365 was received for the current period.,1,Microsoft 365,8.93,USD,2026-06-23,monthly
EML00026,CUST0236,"Sampath Bank receipt: transaction amount LKR 90,308.",0,Sampath Bank,90308.0,LKR,2026-04-19,one-time
EML00027,CUST0262,"Payment received for Sampath Bank order #190067: LKR 2,235.",0,Sampath Bank,2235.0,LKR,2026-07-26,one-time
